match_date,host_country,host_city,stadium_name,match_type,match_period,first_batting_team,second_batting_team,first_batting_team_score,second_batting_team_score,winning_team,margin,margin_type,winning_condition,season,season_winner,note
08-05-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",55th Match,Night,Delhi Capitals,Chennai Super Kings,208/6,117/10,Chennai Super Kings,91,runs,,2022,Gujarat Titans,
08-05-2022,India,Mumbai,"Wankhede Stadium, Mumbai",54th Match,Day/Night,Royal Challengers Bengaluru,Sunrisers Hyderabad,192/3,125/10,Royal Challengers Bengaluru,67,runs,,2022,Gujarat Titans,
07-05-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",53rd Match,Night,Kolkata Knight Riders,Lucknow Super Giants,176/7,101/10,Lucknow Super Giants,75,runs,,2022,Gujarat Titans,
07-05-2022,India,Mumbai,"Wankhede Stadium, Mumbai",52nd Match,Day/Night,Rajasthan Royals,Punjab Kings,189/5,190/4,Rajasthan Royals,6,wickets,2 balls remaining,2022,Gujarat Titans,
06-05-2022,India,Mumbai,"Brabourne Stadium, Mumbai",51st Match,Night,Mumbai Indians,Gujarat Titans,177/6,172/5,Mumbai Indians,5,runs,,2022,Gujarat Titans,
05-05-2022,India,Mumbai,"Brabourne Stadium, Mumbai",50th Match,Night,Sunrisers Hyderabad,Delhi Capitals,207/3,186/8,Delhi Capitals,21,runs,,2022,Gujarat Titans,
04-05-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",49th Match,Night,Chennai Super Kings,Royal Challengers Bengaluru,173/8,160/8,Royal Challengers Bengaluru,13,runs,,2022,Gujarat Titans,
03-05-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",48th Match,Night,Punjab Kings,Gujarat Titans,143/8,145/2,Punjab Kings,8,wickets,24 balls remaining,2022,Gujarat Titans,
02-05-2022,India,Mumbai,"Wankhede Stadium, Mumbai",47th Match,Night,Rajasthan Royals,Kolkata Knight Riders,152/5,158/3,Kolkata Knight Riders,7,wickets,5 balls remaining,2022,Gujarat Titans,
01-05-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",46th Match,Night,Chennai Super Kings,Sunrisers Hyderabad,202/2,189/6,Chennai Super Kings,13,runs,,2022,Gujarat Titans,
01-05-2022,India,Mumbai,"Wankhede Stadium, Mumbai",45th Match,Day/Night,Lucknow Super Giants,Delhi Capitals,195/3,189/7,Lucknow Super Giants,6,runs,,2022,Gujarat Titans,
30-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",44th Match,Night,Mumbai Indians,Rajasthan Royals,158/6,161/5,Mumbai Indians,5,wickets,4 balls remaining,2022,Gujarat Titans,
30-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",43rd Match,Day/Night,Royal Challengers Bengaluru,Gujarat Titans,170/6,174/4,Gujarat Titans,6,wickets,3 balls remaining,2022,Gujarat Titans,
29-04-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",42nd Match,Night,Lucknow Super Giants,Punjab Kings,153/8,133/8,Lucknow Super Giants,20,runs,,2022,Gujarat Titans,
28-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",41st Match,Night,Kolkata Knight Riders,Delhi Capitals,146/9,150/6,Delhi Capitals,4,wickets,6 balls remaining,2022,Gujarat Titans,
27-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",40th Match,Night,Sunrisers Hyderabad,Gujarat Titans,195/6,199/5,Gujarat Titans,5,wickets,,2022,Gujarat Titans,
26-04-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",39th Match,Night,Rajasthan Royals,Royal Challengers Bengaluru,144/8,115/10,Rajasthan Royals,29,runs,,2022,Gujarat Titans,
25-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",38th Match,Night,Chennai Super Kings,Punjab Kings,187/4,176/6,Punjab Kings,11,runs,,2022,Gujarat Titans,
24-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",37th Match,Night,Mumbai Indians,Lucknow Super Giants,168/6,132/8,Lucknow Super Giants,36,runs,,2022,Gujarat Titans,
23-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",36th Match,Night,Sunrisers Hyderabad,Royal Challengers Bengaluru,68/10,72/1,Sunrisers Hyderabad,9,wickets,72 balls remaining,2022,Gujarat Titans,
23-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",35th Match,Day/Night,Gujarat Titans,Kolkata Knight Riders,156/9,148/8,Gujarat Titans,8,runs,,2022,Gujarat Titans,
22-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",34th Match,Night,Rajasthan Royals,Delhi Capitals,222/2,207/8,Rajasthan Royals,15,runs,,2022,Gujarat Titans,
21-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",33rd Match,Night,Chennai Super Kings,Mumbai Indians,155/7,156/7,Chennai Super Kings,3,wickets,,2022,Gujarat Titans,
20-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",32nd Match,Night,Punjab Kings,Delhi Capitals,115/10,119/1,Delhi Capitals,9,wickets,57 balls remaining,2022,Gujarat Titans,
19-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",31st Match,Night,Royal Challengers Bengaluru,Lucknow Super Giants,181/6,163/8,Royal Challengers Bengaluru,18,runs,,2022,Gujarat Titans,
18-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",30th Match,Night,Kolkata Knight Riders,Rajasthan Royals,217/5,210/10,Rajasthan Royals,7,runs,,2022,Gujarat Titans,
17-04-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",29th Match,Night,Chennai Super Kings,Gujarat Titans,169/5,170/7,Gujarat Titans,3,wickets,1 balls remaining,2022,Gujarat Titans,
17-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",28th Match,Day/Night,Sunrisers Hyderabad,Punjab Kings,151/10,152/3,Sunrisers Hyderabad,7,wickets,7 balls remaining,2022,Gujarat Titans,
16-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",27th Match,Night,Royal Challengers Bengaluru,Delhi Capitals,189/5,173/7,Royal Challengers Bengaluru,16,runs,,2022,Gujarat Titans,
16-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",26th Match,Day/Night,Lucknow Super Giants,Mumbai Indians,199/4,181/9,Lucknow Super Giants,18,runs,,2022,Gujarat Titans,
15-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",25th Match,Night,Kolkata Knight Riders,Sunrisers Hyderabad,175/8,176/3,Sunrisers Hyderabad,7,wickets,13 balls remaining,2022,Gujarat Titans,
14-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",24th Match,Night,Gujarat Titans,Rajasthan Royals,192/4,155/9,Gujarat Titans,37,runs,,2022,Gujarat Titans,
13-04-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",23rd Match,Night,Punjab Kings,Mumbai Indians,198/5,186/9,Punjab Kings,12,runs,,2022,Gujarat Titans,
12-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",22nd Match,Night,Royal Challengers Bengaluru,Chennai Super Kings,216/4,193/9,Chennai Super Kings,23,runs,,2022,Gujarat Titans,
11-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",21st Match,Night,Gujarat Titans,Sunrisers Hyderabad,162/7,168/2,Sunrisers Hyderabad,8,wickets,5 balls remaining,2022,Gujarat Titans,
10-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",20th Match,Night,Lucknow Super Giants,Rajasthan Royals,165/6,162/8,Rajasthan Royals,3,runs,,2022,Gujarat Titans,
10-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",19th Match,Day/Night,Delhi Capitals,Kolkata Knight Riders,215/5,171/10,Delhi Capitals,44,runs,,2022,Gujarat Titans,
09-04-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",18th Match,Night,Mumbai Indians,Royal Challengers Bengaluru,151/6,152/3,Royal Challengers Bengaluru,7,wickets,9 balls remaining,2022,Gujarat Titans,
09-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",17th Match,Day/Night,Sunrisers Hyderabad,Chennai Super Kings,154/7,155/2,Sunrisers Hyderabad,8,wickets,14 balls remaining,2022,Gujarat Titans,
08-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",16th Match,Night,Gujarat Titans,Punjab Kings,189/9,190/4,Gujarat Titans,6,wickets,,2022,Gujarat Titans,
07-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",15th Match,Night,Delhi Capitals,Lucknow Super Giants,149/3,155/4,Lucknow Super Giants,6,wickets,2 balls remaining,2022,Gujarat Titans,
06-04-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",14th Match,Night,Mumbai Indians,Kolkata Knight Riders,161/4,162/5,Kolkata Knight Riders,5,wickets,24 balls remaining,2022,Gujarat Titans,
05-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",13th Match,Night,Royal Challengers Bengaluru,Rajasthan Royals,169/3,173/6,Royal Challengers Bengaluru,4,wickets,5 balls remaining,2022,Gujarat Titans,
04-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",12th Match,Night,Lucknow Super Giants,Sunrisers Hyderabad,169/7,157/9,Lucknow Super Giants,12,runs,,2022,Gujarat Titans,
03-04-2022,India,Mumbai,"Brabourne Stadium, Mumbai",11th Match,Night,Punjab Kings,Chennai Super Kings,180/8,126/10,Punjab Kings,54,runs,,2022,Gujarat Titans,
02-04-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",9th Match,Day/Night,Rajasthan Royals,Mumbai Indians,193/8,170/8,Rajasthan Royals,23,runs,,2022,Gujarat Titans,
02-04-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",10th Match,Night,Delhi Capitals,Gujarat Titans,171/6,157/9,Gujarat Titans,14,runs,,2022,Gujarat Titans,
01-04-2022,India,Mumbai,"Wankhede Stadium, Mumbai",8th Match,Night,Punjab Kings,Kolkata Knight Riders,137/10,141/4,Kolkata Knight Riders,6,wickets,33 balls remaining,2022,Gujarat Titans,
31-03-2022,India,Mumbai,"Brabourne Stadium, Mumbai",7th Match,Night,Chennai Super Kings,Lucknow Super Giants,210/7,211/4,Lucknow Super Giants,6,wickets,3 balls remaining,2022,Gujarat Titans,
30-03-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",6th Match,Night,Kolkata Knight Riders,Royal Challengers Bengaluru,128/10,132/7,Royal Challengers Bengaluru,3,wickets,4 balls remaining,2022,Gujarat Titans,
29-03-2022,India,Pune,"Maharashtra Cricket Association Stadium, Pune",5th Match,Night,Rajasthan Royals,Sunrisers Hyderabad,210/6,149/7,Rajasthan Royals,61,runs,,2022,Gujarat Titans,
28-03-2022,India,Mumbai,"Wankhede Stadium, Mumbai",4th Match,Night,Lucknow Super Giants,Gujarat Titans,158/6,161/5,Gujarat Titans,5,wickets,2 balls remaining,2022,Gujarat Titans,
27-03-2022,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",3rd Match,Night,Royal Challengers Bengaluru,Punjab Kings,205/2,208/5,Punjab Kings,5,wickets,6 balls remaining,2022,Gujarat Titans,
27-03-2022,India,Mumbai,"Brabourne Stadium, Mumbai",2nd Match,Day/Night,Mumbai Indians,Delhi Capitals,177/5,179/6,Delhi Capitals,4,wickets,10 balls remaining,2022,Gujarat Titans,
26-03-2022,India,Mumbai,"Wankhede Stadium, Mumbai",1st Match,Night,Kolkata Knight Riders,Chennai Super Kings,131/5,133/4,Kolkata Knight Riders,6,wickets,9 balls remaining,2022,Gujarat Titans,
15-10-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,Final,Night,Kolkata Knight Riders,Chennai Super Kings,192/3,165/9,Chennai Super Kings,27,runs,,2021,Chennai Super Kings,
13-10-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,Qualifier 2,Night,Kolkata Knight Riders,Delhi Capitals,135/5,136/7,Kolkata Knight Riders,3,wickets,1 balls remaining,2021,Chennai Super Kings,
11-10-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,Eliminator,Night,Kolkata Knight Riders,Royal Challengers Bengaluru,138/7,139/6,Kolkata Knight Riders,4,wickets,2 balls remaining,2021,Chennai Super Kings,
10-10-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,Qualifier 1,Night,Chennai Super Kings,Delhi Capitals,172/5,173/6,Chennai Super Kings,4,wickets,2 balls remaining,2021,Chennai Super Kings,
08-10-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,56th Match,Night,Delhi Capitals,Royal Challengers Bengaluru,164/5,166/3,Royal Challengers Bengaluru,7,wickets,,2021,Chennai Super Kings,
08-10-2021,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",55th Match,Night,Mumbai Indians,Sunrisers Hyderabad,235/9,193/8,Mumbai Indians,42,runs,,2021,Chennai Super Kings,
07-10-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,54th Match,Night,Rajasthan Royals,Kolkata Knight Riders,171/4,85/10,Kolkata Knight Riders,86,runs,,2021,Chennai Super Kings,
07-10-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,53rd Match,Day,Punjab Kings,Chennai Super Kings,134/6,139/4,Punjab Kings,6,wickets,42 balls remaining,2021,Chennai Super Kings,
06-10-2021,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",52nd Match,Night,Sunrisers Hyderabad,Royal Challengers Bengaluru,141/7,137/6,Sunrisers Hyderabad,4,runs,,2021,Chennai Super Kings,
05-10-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,51st Match,Night,Mumbai Indians,Rajasthan Royals,90/9,94/2,Mumbai Indians,8,wickets,70 balls remaining,2021,Chennai Super Kings,
04-10-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,50th Match,Night,Chennai Super Kings,Delhi Capitals,136/5,139/7,Delhi Capitals,3,wickets,2 balls remaining,2021,Chennai Super Kings,
03-10-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,49th Match,Night,Sunrisers Hyderabad,Kolkata Knight Riders,115/8,119/4,Kolkata Knight Riders,6,wickets,2 balls remaining,2021,Chennai Super Kings,
03-10-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,48th Match,Day,Punjab Kings,Royal Challengers Bengaluru,164/7,158/6,Royal Challengers Bengaluru,6,runs,,2021,Chennai Super Kings,
02-10-2021,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",47th Match,Night,Chennai Super Kings,Rajasthan Royals,189/4,190/3,Rajasthan Royals,7,wickets,15 balls remaining,2021,Chennai Super Kings,
02-10-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,46th Match,Day,Delhi Capitals,Mumbai Indians,129/8,132/6,Delhi Capitals,4,wickets,5 balls remaining,2021,Chennai Super Kings,
01-10-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,45th Match,Night,Punjab Kings,Kolkata Knight Riders,165/7,168/5,Punjab Kings,5,wickets,3 balls remaining,2021,Chennai Super Kings,
30-09-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,44th Match,Night,Chennai Super Kings,Sunrisers Hyderabad,134/7,139/4,Chennai Super Kings,6,wickets,2 balls remaining,2021,Chennai Super Kings,
29-09-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,43rd Match,Night,Royal Challengers Bengaluru,Rajasthan Royals,149/9,153/3,Royal Challengers Bengaluru,7,wickets,17 balls remaining,2021,Chennai Super Kings,
28-09-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,41st Match,Day,Delhi Capitals,Kolkata Knight Riders,127/9,130/7,Kolkata Knight Riders,3,wickets,10 balls remaining,2021,Chennai Super Kings,
28-09-2021,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",42nd Match,Night,Punjab Kings,Mumbai Indians,135/6,137/4,Mumbai Indians,6,wickets,6 balls remaining,2021,Chennai Super Kings,
27-09-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,40th Match,Night,Rajasthan Royals,Sunrisers Hyderabad,164/5,167/3,Sunrisers Hyderabad,7,wickets,9 balls remaining,2021,Chennai Super Kings,
26-09-2021,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",38th Match,Day,Kolkata Knight Riders,Chennai Super Kings,171/6,172/8,Chennai Super Kings,2,wickets,,2021,Chennai Super Kings,
26-09-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,39th Match,Night,Mumbai Indians,Royal Challengers Bengaluru,165/6,111/10,Royal Challengers Bengaluru,54,runs,,2021,Chennai Super Kings,
25-09-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,37th Match,Night,Punjab Kings,Sunrisers Hyderabad,125/7,120/7,Punjab Kings,5,runs,,2021,Chennai Super Kings,
25-09-2021,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",36th Match,Day,Rajasthan Royals,Delhi Capitals,154/6,121/6,Delhi Capitals,33,runs,,2021,Chennai Super Kings,
24-09-2021,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,35th Match,Night,Chennai Super Kings,Royal Challengers Bengaluru,156/6,157/4,Chennai Super Kings,6,wickets,11 balls remaining,2021,Chennai Super Kings,
23-09-2021,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",34th Match,Night,Kolkata Knight Riders,Mumbai Indians,155/6,159/3,Kolkata Knight Riders,7,wickets,29 balls remaining,2021,Chennai Super Kings,
22-09-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,33rd Match,Night,Sunrisers Hyderabad,Delhi Capitals,134/9,139/2,Delhi Capitals,8,wickets,13 balls remaining,2021,Chennai Super Kings,
21-09-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,32nd Match,Night,Rajasthan Royals,Punjab Kings,185/10,183/4,Rajasthan Royals,2,runs,,2021,Chennai Super Kings,
20-09-2021,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",31st Match,Night,Royal Challengers Bengaluru,Kolkata Knight Riders,92/10,94/1,Kolkata Knight Riders,9,wickets,60 balls remaining,2021,Chennai Super Kings,
19-09-2021,United Arab Emirates,Dubai,Dubai International Cricket Stadium,30th Match,Night,Mumbai Indians,Chennai Super Kings,156/6,136/8,Chennai Super Kings,20,runs,,2021,Chennai Super Kings,
02-05-2021,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",29th Match,Night,Delhi Capitals,Punjab Kings,166/6,167/3,Delhi Capitals,7,wickets,14 balls remaining,2021,Chennai Super Kings,
02-05-2021,India,Delhi,"Arun Jaitley Stadium, Delhi",28th Match,Day/Night,Sunrisers Hyderabad,Rajasthan Royals,220/3,165/8,Rajasthan Royals,55,runs,,2021,Chennai Super Kings,
01-05-2021,India,Delhi,"Arun Jaitley Stadium, Delhi",27th Match,Night,Chennai Super Kings,Mumbai Indians,218/4,219/6,Mumbai Indians,4,wickets,,2021,Chennai Super Kings,
30-04-2021,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",26th Match,Night,Royal Challengers Bengaluru,Punjab Kings,179/5,145/8,Punjab Kings,34,runs,,2021,Chennai Super Kings,
29-04-2021,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",25th Match,Night,Kolkata Knight Riders,Delhi Capitals,154/6,156/3,Delhi Capitals,7,wickets,21 balls remaining,2021,Chennai Super Kings,
29-04-2021,India,Delhi,"Arun Jaitley Stadium, Delhi",24th Match,Day/Night,Rajasthan Royals,Mumbai Indians,171/4,172/3,Mumbai Indians,7,wickets,9 balls remaining,2021,Chennai Super Kings,
28-04-2021,India,Delhi,"Arun Jaitley Stadium, Delhi",23rd Match,Night,Sunrisers Hyderabad,Chennai Super Kings,171/3,173/3,Chennai Super Kings,7,wickets,9 balls remaining,2021,Chennai Super Kings,
27-04-2021,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",22nd Match,Night,Royal Challengers Bengaluru,Delhi Capitals,171/5,170/4,Royal Challengers Bengaluru,1,runs,,2021,Chennai Super Kings,
26-04-2021,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",21st Match,Night,Kolkata Knight Riders,Punjab Kings,123/9,126/5,Kolkata Knight Riders,5,wickets,20 balls remaining,2021,Chennai Super Kings,
25-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",20th Match,Night,Delhi Capitals,Sunrisers Hyderabad,159/4,159/7,Tied,0,,,2021,Chennai Super Kings,
25-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",19th Match,Day/Night,Royal Challengers Bengaluru,Chennai Super Kings,191/4,122/9,Chennai Super Kings,69,runs,,2021,Chennai Super Kings,
24-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",18th Match,Night,Kolkata Knight Riders,Rajasthan Royals,133/9,134/4,Rajasthan Royals,6,wickets,7 balls remaining,2021,Chennai Super Kings,
23-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",17th Match,Night,Mumbai Indians,Punjab Kings,131/6,132/1,Punjab Kings,9,wickets,14 balls remaining,2021,Chennai Super Kings,
22-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",16th Match,Night,Rajasthan Royals,Royal Challengers Bengaluru,177/9,181/0,Royal Challengers Bengaluru,10,wickets,21 balls remaining,2021,Chennai Super Kings,
21-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",14th Match,Day/Night,Sunrisers Hyderabad,Punjab Kings,120/10,121/1,Sunrisers Hyderabad,9,wickets,8 balls remaining,2021,Chennai Super Kings,
21-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",15th Match,Night,Chennai Super Kings,Kolkata Knight Riders,220/3,202/10,Chennai Super Kings,18,runs,,2021,Chennai Super Kings,
20-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",13th Match,Night,Mumbai Indians,Delhi Capitals,137/9,138/4,Delhi Capitals,6,wickets,5 balls remaining,2021,Chennai Super Kings,
19-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",12th Match,Night,Rajasthan Royals,Chennai Super Kings,188/9,143/9,Chennai Super Kings,45,runs,,2021,Chennai Super Kings,
18-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",11th Match,Night,Punjab Kings,Delhi Capitals,195/4,198/4,Delhi Capitals,6,wickets,10 balls remaining,2021,Chennai Super Kings,
18-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",10th Match,Day/Night,Kolkata Knight Riders,Royal Challengers Bengaluru,204/4,166/8,Royal Challengers Bengaluru,38,runs,,2021,Chennai Super Kings,
17-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",9th Match,Night,Sunrisers Hyderabad,Mumbai Indians,150/5,137/10,Mumbai Indians,13,runs,,2021,Chennai Super Kings,
16-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",8th Match,Night,Chennai Super Kings,Punjab Kings,106/8,107/4,Chennai Super Kings,6,wickets,26 balls remaining,2021,Chennai Super Kings,
15-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",7th Match,Night,Delhi Capitals,Rajasthan Royals,147/8,150/7,Rajasthan Royals,3,wickets,2 balls remaining,2021,Chennai Super Kings,
14-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",6th Match,Night,Royal Challengers Bengaluru,Sunrisers Hyderabad,149/8,143/9,Royal Challengers Bengaluru,6,runs,,2021,Chennai Super Kings,
13-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",5th Match,Night,Mumbai Indians,Kolkata Knight Riders,152/10,142/7,Mumbai Indians,10,runs,,2021,Chennai Super Kings,
12-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",4th Match,Night,Punjab Kings,Rajasthan Royals,221/6,217/7,Punjab Kings,4,runs,,2021,Chennai Super Kings,
11-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",3rd Match,Night,Kolkata Knight Riders,Sunrisers Hyderabad,187/6,177/5,Kolkata Knight Riders,10,runs,,2021,Chennai Super Kings,
10-04-2021,India,Mumbai,"Wankhede Stadium, Mumbai",2nd Match,Night,Delhi Capitals,Chennai Super Kings,188/7,190/3,Delhi Capitals,7,wickets,8 balls remaining,2021,Chennai Super Kings,
09-04-2021,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",1st Match,Night,Royal Challengers Bengaluru,Mumbai Indians,159/9,160/8,Royal Challengers Bengaluru,2,wickets,,2021,Chennai Super Kings,
10-11-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,Final,Night,Mumbai Indians,Delhi Capitals,156/7,157/5,Mumbai Indians,5,wickets,8 balls remaining,2020,Mumbai Indians,
08-11-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Qualifier 2,Night,Sunrisers Hyderabad,Delhi Capitals,189/3,172/8,Delhi Capitals,17,runs,,2020,Mumbai Indians,
06-11-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Eliminator,Night,Sunrisers Hyderabad,Royal Challengers Bengaluru,131/7,132/4,Sunrisers Hyderabad,6,wickets,2 balls remaining,2020,Mumbai Indians,
05-11-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,Qualifier 1,Night,Mumbai Indians,Delhi Capitals,200/5,143/8,Mumbai Indians,57,runs,,2020,Mumbai Indians,
03-11-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,56th Match,Night,Mumbai Indians,Sunrisers Hyderabad,149/8,151/0,Sunrisers Hyderabad,10,wickets,17 balls remaining,2020,Mumbai Indians,
02-11-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",55th Match,Night,Royal Challengers Bengaluru,Delhi Capitals,152/7,154/4,Delhi Capitals,6,wickets,6 balls remaining,2020,Mumbai Indians,
01-11-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,54th Match,Night,Rajasthan Royals,Kolkata Knight Riders,191/7,131/9,Kolkata Knight Riders,60,runs,,2020,Mumbai Indians,
01-11-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",53rd Match,Day,Punjab Kings,Chennai Super Kings,153/6,154/1,Chennai Super Kings,9,wickets,7 balls remaining,2020,Mumbai Indians,
31-10-2020,United Arab Emirates,Sharjah,Sharjah Cricket Stadium,52nd Match,Night,Sunrisers Hyderabad,Royal Challengers Bengaluru,120/7,121/5,Sunrisers Hyderabad,5,wickets,35 balls remaining,2020,Mumbai Indians,
31-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,51st Match,Day,Mumbai Indians,Delhi Capitals,110/9,111/1,Mumbai Indians,9,wickets,34 balls remaining,2020,Mumbai Indians,
30-10-2020,United Arab Emirates,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",50th Match,Night,Rajasthan Royals,Punjab Kings,185/4,186/3,Rajasthan Royals,7,wickets,15 balls remaining,2020,Mumbai Indians,
29-10-2020,United Arab Emirates,Dubai,Dubai International Cricket Stadium,49th Match,Night,Kolkata Knight Riders,Chennai Super Kings,172/5,178/4,Chennai Super Kings,6,wickets,,2020,Mumbai Indians,
